Position,Column Label,Answer Type,Important Text,Question Text,Group Text,Sub Question Text,Answer Text,Question ID,Group #,Sub Question #,Answer #,Report As,Answer Values...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Q710_2_O,Multi-Punch-Item,Universities/Community-Technical colleges::Very important,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Very important,Universities/Community-Technical colleges,Q710,1,2,O,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,Q710_2_P,Multi-Punch-Item,Entertainment/restaurants::Very important,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Very important,Entertainment/restaurants,Q710,1,2,P,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Q710_2_Q,Multi-Punch-Item,Small retail services::Very important,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Very important,Small retail services,Q710,1,2,Q,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Q710_2_R,Multi-Punch-Item,Reliable garbage and waste removal::Very important,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Very important,Reliable garbage and waste removal,Q710,1,2,R,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,Q710_2_S,Multi-Punch-Item,"Church, synagogue, or other place of worship::Very important",Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Very important,"Church, synagogue, or other place of worship",Q710,1,2,S,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Q710_2_T,Multi-Punch-Item,Community Center—good and safe place for youth activity::Very important,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Very important,Community Center—good and safe place for youth activity,Q710,1,2,T,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Q710_2_U,Multi-Punch-Item,Easy access to airport::Very important,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Very important,Easy access to airport,Q710,1,2,U,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Q710_2_V,Multi-Punch-Item,Senior Center::Very important,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Very important,Senior Center,Q710,1,2,V,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Q710_2_W,Multi-Punch-Item,Shopping malls::Very important,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Very important,Shopping malls,Q710,1,2,W,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Q710_2_X,Multi-Punch-Item,Downtown Nashville::Very important,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Very important,Downtown Nashville,Q710,1,2,X,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Q710_3_A,Multi-Punch-Item,Police/fire stations::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Police/fire stations,Q710,1,3,A,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Q710_3_B,Multi-Punch-Item,Hospital::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Hospital,Q710,1,3,B,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Q710_3_C,Multi-Punch-Item,Affordable housing options::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Affordable housing options,Q710,1,3,C,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Q710_3_D,Multi-Punch-Item,Grocery stores::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Grocery stores,Q710,1,3,D,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Q710_3_E,Multi-Punch-Item,Easy access to highways::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Easy access to highways,Q710,1,3,E,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Q710_3_F,Multi-Punch-Item,Doctor/Dentist offices::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Doctor/Dentist offices,Q710,1,3,F,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Q710_3_G,Multi-Punch-Item,Parks/recreational fields::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Parks/recreational fields,Q710,1,3,G,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Q710_3_H,Multi-Punch-Item,Schools::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Schools,Q710,1,3,H,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Q710_3_I,Multi-Punch-Item,Sidewalks with good lighting on both sides of every street::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Sidewalks with good lighting on both sides of every street,Q710,1,3,I,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Q710_3_J,Multi-Punch-Item,Parks and green spaces::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Parks and green spaces,Q710,1,3,J,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Q710_3_K,Multi-Punch-Item,Library::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Library,Q710,1,3,K,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Q710_3_L,Multi-Punch-Item,Bikeable and walkable throughout::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Bikeable and walkable throughout,Q710,1,3,L,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Q710_3_M,Multi-Punch-Item,Access to public transportation::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Access to public transportation,Q710,1,3,M,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Q710_3_N,Multi-Punch-Item,My place of work::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,My place of work,Q710,1,3,N,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Q710_3_O,Multi-Punch-Item,Universities/Community-Technical colleges::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Universities/Community-Technical colleges,Q710,1,3,O,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Q710_3_P,Multi-Punch-Item,Entertainment/restaurants::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Entertainment/restaurants,Q710,1,3,P,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Q710_3_Q,Multi-Punch-Item,Small retail services::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Small retail services,Q710,1,3,Q,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Q710_3_R,Multi-Punch-Item,Reliable garbage and waste removal::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Reliable garbage and waste removal,Q710,1,3,R,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Q710_3_S,Multi-Punch-Item,"Church, synagogue, or other place of worship::Absolutely Essential",Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,"Church, synagogue, or other place of worship",Q710,1,3,S,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Q710_3_T,Multi-Punch-Item,Community Center—good and safe place for youth activity::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Community Center—good and safe place for youth activity,Q710,1,3,T,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Q710_3_U,Multi-Punch-Item,Easy access to airport::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Easy access to airport,Q710,1,3,U,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Q710_3_V,Multi-Punch-Item,Senior Center::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Senior Center,Q710,1,3,V,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Q710_3_W,Multi-Punch-Item,Shopping malls::Absolutely Essential,Please imagine your own ideal neighborhood—the place where you would like to live.  There are lots of different things people have mentioned that are important to making a great neighborhood.  Please indicate how important it would be to you to have each ,,Absolutely Essential,Shopping malls,Q710,1,3,W,1,0 = No,1 = Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
